SEARCH_ENGLISH|QUIZ_ENGLISH|SUBSECTION_ENGLISH|SEARCH_SPANISH|QUIZ_SPANISH|SUBSECTION_SPANISH|SEARCH_FRENCH|QUIZ_FRENCH|SUBSECTION_FRENCH|SEARCH_ITALIAN|QUIZ_ITALIAN|SUBSECTION_ITALIAN|SEARCH_CHINESE|QUIZ_CHINESE|SUBSECTION_CHINESE|SEARCH_ARABIC|QUIZ_ARABIC|SUBSECTION_ARABIC|SEARCH_RUSSIAN|QUIZ_RUSSIAN|SUBSECTION_RUSSIAN|X-Axis|Y-Axis|SOURCE IMAGE|SECTION
Peripheral Nervous System, Arm, Radial And Superficial Nerves|Radial And Superficial Nerves|Arm & Hand Nerves|SNP, Brazo, Nervios Radiales y Superficiales|Nervios Radiales y Superficiales|Brazo y Mano Nervios|Pns, Bras, Nerfs Radiaux Et Superficiels|Nerfs radiaux et superficiels|Nerfs de Bras et de Main|Sistema Nervoso Periferico, Braccio, Nervi Radiali E Superficiali|Nervi Radiali E Superficiali|Nervi Braccio e Mano|周围神经系统，手臂，桡侧和浅层神经|径向和浅层神经|手臂和手部神经|الجهاز العصبي الطرفي، الذراع، الأعصاب السطحية والشعاعية|الأعصاب السطحية والشعاعية|الذراع والأعصاب اليد|ПНС, Рука, Лучевые И Поверхностные Нервы|лучевые и поверхностные нервы|Руки И Руки Нервы|1544|1414|04 - PERIPHERAL NERVOUS SYSTEM - 07.jpg|04 - Peripheral Nervous System
Peripheral Nervous System, Arm, Dorsal Nerves|Dorsal Nerves|Arm & Hand Nerves|SNP, Brazo, Nervios Dorsales|Nervios Dorsales|Brazo y Mano Nervios|Pns, Bras, Nerfs Dorsaux|Nerfs dorsaux|Nerfs de Bras et de Main|Sistema Nervoso Periferico, Braccio, Nervi Dorsali|Nervi Dorsali|Nervi Braccio e Mano|周围神经系统，手臂，背神经|背神经|手臂和手部神经|الجهاز العصبي الطرفي، الذراع، الأعصاب الظهرية|الأعصاب الظهرية|الذراع والأعصاب اليد|ПНС, Рука, Дорзальные Нервы|дорзальные нервы|Руки И Руки Нервы|1418|1549|04 - PERIPHERAL NERVOUS SYSTEM - 07.jpg|04 - Peripheral Nervous System
Peripheral Nervous System, Arm, Dorsal Digital Nerves|Dorsal Digital Nerves|Arm & Hand Nerves|SNP, Brazo, Nervios Dorsales Digitales|Nervios Dorsales Digitales|Brazo y Mano Nervios|Pns, Bras, Nerfs digitaux dorsaux|Nerfs digitaux dorsaux|Nerfs de Bras et de Main|Sistema Nervoso Periferico, Braccio, Nervi dorsali digitali|Nervi Digitali Dorsali|Nervi Braccio e Mano|周围神经系统，手臂，背手指神经|背手指神经|手臂和手部神经|الجهاز العصبي الطرفي، الذراع، الأَعْصابُ الإِصْبَعِيَّةُ الظَّهْرانِيَّةُ الكُعْبُرِيَّة|الأَعْصابُ الإِصْبَعِيَّةُ الظَّهْرانِيَّةُ الكُعْبُرِيَّة|الذراع والأعصاب اليد|ПНС, Рука, Дорзальные нервы пальцев рук|дорзальные нервы пальцев рук|Руки И Руки Нервы|1550|1585|04 - PERIPHERAL NERVOUS SYSTEM - 07.jpg|04 - Peripheral Nervous System
Peripheral Nervous System, Arm, Proper Palmar Digital Nerves|Proper Palmar Digital Nerves|Arm & Hand Nerves|SNP, Brazo, Nervios Digitales Apropiados Palmar|Nervios Digitales Apropiados Palmar|Brazo y Mano Nervios|Pns, Bras, Nerfs Numériques Appropriés De Palmar|Nerfs digitaux palmaires propres|Nerfs de Bras et de Main|Sistema Nervoso Periferico, Braccio, Nervi palmari digitali propri|Nervi Palmari Digitali Propri|Nervi Braccio e Mano|周边神经系统，手臂，指掌侧固有神经|指掌侧固有神经|手臂和手部神经|الجهاز العصبي الطرفي، الذراع، الأَعْصابُ الرَّاحِيَّةُ المَخْصوصَةُ الإصْبَعِيَّةُ|الأَعْصابُ الرَّاحِيَّةُ المَخْصوصَةُ الإصْبَعِيَّةُ|الذراع والأعصاب اليد|ПНС, Рука, Собственные ладонные нервы пальцев рук|собственные ладонные нервы пальцев рук|Руки И Руки Нервы|1556|1846|04 - PERIPHERAL NERVOUS SYSTEM - 07.jpg|04 - Peripheral Nervous System
Peripheral Nervous System, Arm, Palmar Nerves|Palmar Nerves|Arm & Hand Nerves|SNP, Brazo, Nervios Palmar|Nervios Palmar|Brazo y Mano Nervios|Pns, Bras, Nerfs palmaires|Nerfs Palmaires|Nerfs de Bras et de Main|Sistema Nervoso Periferico, Braccio, Nervi Palmari|Nervi Palmari Digitali Propri|Nervi Braccio e Mano|周围神经系统，手臂，手掌神经|手掌神经|手臂和手部神经|الجهاز العصبي الطرفي، الذراع،  الأعصاب الراحية|الأعصاب الراحية|الذراع والأعصاب اليد|ПНС, Рука, Ладонные нервы|ладонные Нервы|Руки И Руки Нервы|392|1585|04 - PERIPHERAL NERVOUS SYSTEM - 07.jpg|04 - Peripheral Nervous System
Peripheral Nervous System, Arm, Palmar Digital Nerves|Palmar Digital Nerves|Arm & Hand Nerves|SNP, Brazo, Nervios Digitales Palmar|Nervio Palmar Digital|Brazo y Mano Nervios|Pns, Bras, Nerfs Numériques palmaires|Nerfs numériques palmaires|Nerfs de Bras et de Main|Sistema Nervoso Periferico, Braccio, Nervi palmari digitali propri|Nervi Palmari Digitali |Nervi Braccio e Mano|周围神经系统，手臂，手掌手指神经|手掌数手指神经|手臂和手部神经|الجهاز العصبي الطرفي، الذراع،  الأعصاب الراحية الاصبعية|الأعصاب الراحية الاصبعية|الذراع والأعصاب اليد|ПНС, Рука, Ладонные нервы пальцев рук|ладонные нервы пальцев рук|Руки И Руки Нервы|392|1846|04 - PERIPHERAL NERVOUS SYSTEM - 07.jpg|04 - Peripheral Nervous System
Peripheral Nervous System, Pelvis, Greater Sciatic Foramen|Greater Sciatic Foramen|Pelvic Nerves|SNP, Pelvis, Foramen Ciático Mayor|Foramen Ciático Mayor|Nervios Pélvicos|Pns, Bassin, Foramen Supérieur Sciatique|Foramen supérieur sciatique|Nerfs Pelviens|Sistema Nervoso Periferico, Bacino, Forame Maggiore Sciatico|Forame Maggiore Sciatico|Nervi Pelvici|周围神经系统，骨盆，大坐骨神經孔|大坐骨神經孔|骨盆神经|الجهاز العصبي الطرفي، الحوض، الثقب الوركي الأكبر|الثقب الوركي الأكبر|أعصاب الحوض|ПНС, Таз, Большое Седалищное Отверстие|Большое седалищное отверстие|Тазовые Нервы|1047|518|04 - PERIPHERAL NERVOUS SYSTEM - 08.jpg|04 - Peripheral Nervous System
Peripheral Nervous System, Pelvis, Lesser Sciatic Foramen|Lesser Sciatic Foramen|Pelvic Nerves|SNP, Pelvis, Foramen Ciático Menor|Foramen Ciático Menor|Nervios Pélvicos|Pns, Bassin, Foramen Sciatique Inférieur|Foramen sciatique inférieur|Nerfs Pelviens|Sistema Nervoso Periferico, Bacino, Forame Minore|Forame Minore Sciatico|Nervi Pelvici|周围神经系统，骨盆，小坐骨神經孔|小坐骨神经孔|骨盆神经|الجهاز العصبي الطرفي، الحوض، الثقب الوركي الاصغر|الثقب الوركي الاصغر|أعصاب الحوض|ПНС, Таз, Малое Седалищное Отверстие|малое седалищное отверстие|Тазовые Нервы|1146|743|04 - PERIPHERAL NERVOUS SYSTEM - 08.jpg|04 - Peripheral Nervous System
Peripheral Nervous System, Pelvis, Ischial Spine|Ischial Spine|Pelvic Nerves|SNP, Pelvis, Espina Isquial|Espina Isquial|Nervios Pélvicos|Pns, Bassin, Colonne Vertébrale Ischiatique|Épine dorsale|Nerfs Pelviens|Sistema Nervoso Periferico, Pelvi, Spina Ischiatica|Spina Ischiatica|Nervi Pelvici|周围神经系统，骨盆，坐骨棘|坐骨棘|骨盆神经|الجهاز العصبي الطرفي، الحوض، الشَّوكَةُ الإِسْكِيَّة|الشَّوكَةُ الإِسْكِيَّة|أعصاب الحوض|ПНС, Таз, Седалищная ость|седалищная ость|Тазовые Нервы|891|623|04 - PERIPHERAL NERVOUS SYSTEM - 08.jpg|04 - Peripheral Nervous System
Peripheral Nervous System, Pelvis, Sacral Spinal Nerves|Sacral Spinal Nerves|Pelvic Nerves|SNP, Pelvis, Nervios Espinales Sacros|Nervios Espinales Sacros|Nervios Pélvicos|Pns, Bassin, Nerfs Rachidiens Sacrés|Nerfs spinaux sacrés|Nerfs Pelviens|Sistema Nervoso Periferico, Pelvi, Nervi sacrali spinali|Nervi Sacrali Spinali|Nervi Pelvici|周围神经系统，骨盆，骶骨神经|骶脊神经|骨盆神经|الجهاز العصبي الطرفي، الحوض، الأعصاب في العمود الفقري العجزي|الأعصاب في العمود الفقري العجزي|أعصاب الحوض|ПНС, Таз, Крестцовые спинальные Нервы|крестцовые спинальные нервы|Тазовые Нервы|1233|470|04 - PERIPHERAL NERVOUS SYSTEM - 08.jpg|04 - Peripheral Nervous System
Peripheral Nervous System, Pelvis, Pudendal Nerve|Pudendal Nerve|Pelvic Nerves|SNP, Pelvis, Nervio Pudendal|Nervio Pudendal|Nervios Pélvicos|Pns, Bassin, Nerf Pudendal|Nerf pudendal|Nerfs Pelviens|Sistema Nervoso Periferico, Bacino, Nervo Pudendo|Nervo Pudendo|Nervi Pelvici|周围神经系统，骨盆，阴部神经|阴部神经|骨盆神经|الجهاز العصبي الطرفي، الحوض، العَصَبُ الفَرْجِيّ|العَصَبُ الفَرْجِيّ|أعصاب الحوض|ПНС, Таз, Срамной Нерв|срамной нерв|Тазовые Нервы|1149|620|04 - PERIPHERAL NERVOUS SYSTEM - 08.jpg|04 - Peripheral Nervous System
Peripheral Nervous System, Pelvis, Inferior Anal Nerve|Inferior Anal Nerve|Pelvic Nerves|SNP, Pelvis, Nervio Anal Inferior|Nervio Anal Inferior|Nervios Pélvicos|Pns, Bassin, Nerf Anal Inférieur|Nerf anal inférieur|Nerfs Pelviens|Sistema Nervoso Periferico, Bacino, Nervo gluteo Inferiore|Nervo Gluteo Inferiore|Nervi Pelvici|周围神经系统，骨盆，下肛门神经|下肛门神经|骨盆神经|الجهاز العصبي الطرفي، الحوض،  العصب الشرجي السفلي|العصب الشرجي السفلي|أعصاب الحوض|ПНС, Таз, Нижний Анальный Нерв|Нижний анальный нерв|Тазовые Нервы|1068|1024|04 - PERIPHERAL NERVOUS SYSTEM - 08.jpg|04 - Peripheral Nervous System
Peripheral Nervous System, Pelvis, Pudendal Canal|Pudendal Canal|Pelvic Nerves|SNP, Pelvis, Canal Pudendal|Canal Pudendal|Nervios Pélvicos|Pns, Bassin, Canal Pudendal|Canal Pudendal|Nerfs Pelviens|Sistema Nervoso Periferico, Bacino, Canale Pudendo|Canale Pudendo|Nervi Pelvici|周围神经系统，骨盆，阴部管|阴部管|骨盆神经|الجهاز العصبي الطرفي، الحوض، النفق الفرجي|النفق الفرجي|أعصاب الحوض|ПНС, Таз, Срамной канал|срамной канал|Тазовые Нервы|1119|779|04 - PERIPHERAL NERVOUS SYSTEM - 08.jpg|04 - Peripheral Nervous System
Peripheral Nervous System, Pelvis, Deep Perineal Nerve|Deep Perineal Nerve|Pelvic Nerves|SNP, Pelvis, Nervio Perineal Profundo|Nervio Perineal Profundo|Nervios Pélvicos|Pns, Bassin, Nerf Périnéal Profond|Nerf périnéal profond|Nerfs Pelviens|Sistema Nervoso Periferico, Pelvi, Nervo Perineale Profondo|Nervo Perineale Profondo|Nervi Pelvici|周围神经系统，骨盆，深层会阴神经|深层会阴神经|骨盆神经|الجهاز العصبي الطرفي، الحوض، العصب العجاني العميق|العصب العجاني العميق|أعصاب الحوض|ПНС, Таз, Глубокий промежностный Нерв|Глубокий промежностный нерв|Тазовые Нервы|849|1045|04 - PERIPHERAL NERVOUS SYSTEM - 08.jpg|04 - Peripheral Nervous System
Peripheral Nervous System, Pelvis, Superficial Perineal Nerve|Superficial Perineal Nerve|Pelvic Nerves|SNP, Pelvis, Nervio Perineal Superficial|Nervio Perineal Superficial|Nervios Pélvicos|Pns, Bassin, Nerf Périnéal Superficiel|Nerf périnéale superficiel|Nerfs Pelviens|Sistema Nervoso Periferico, Pelvi, Nervo Perineale Superficiale|Nervo Perineale Superficiale|Nervi Pelvici|周围神经系统，骨盆，淺层会阴神经|淺层会阴神经|骨盆神经|الجهاز العصبي الطرفي، الحوض،  العصب العجاني السطحي|العصب العجاني السطحي|أعصاب الحوض|ПНС, Таз, Поверхностный Промежностный Нерв|Поверхностный промежностный нерв|Тазовые Нервы|906|1117|04 - PERIPHERAL NERVOUS SYSTEM - 08.jpg|04 - Peripheral Nervous System
Peripheral Nervous System, Pelvis, Posterior Scrotal Nerve|Posterior Scrotal Nerve|Pelvic Nerves|SNP, Pelvis, Nervio Escrotal Posterior|Nervio Escrotal Posterior|Nervios Pélvicos|Pns, Bassin, Nerf Scrotal Postérieur|Nerf scrotal postérieur|Nerfs Pelviens|Sistema Nervoso Periferico, Bacino, Nervo Scrotale Posteriore|Nervo Scrotale Posteriore|Nervi Pelvici|周围神经系统，骨盆，后部阴囊神经|后部阴囊神经|骨盆神经|الجهاز العصبي الطرفي، الحوض،  العصب الخلفي الصفني|العصب الخلفي الصفني|أعصاب الحوض|ПНС, Таз, Задний Нерв мошонки|Задний нерв мошонки|Тазовые Нервы|636|1246|04 - PERIPHERAL NERVOUS SYSTEM - 08.jpg|04 - Peripheral Nervous System
Peripheral Nervous System, Pelvis, Dorsal Nerve of Penis|Dorsal Nerve of Penis|Pelvic Nerves|SNP, Pelvis, Nervio Dorsal del Pene|Nervio Dorsal del Pene|Nervios Pélvicos|Pns, Bassin, Nerf Dorsal Du Pénis|Nerf dorsal du pénis|Nerfs Pelviens|Sistema Nervoso Periferico, Bacino, Nervo Dorsale Del Pene|Nervo Dorsale Del Pene|Nervi Pelvici|周围神经系统，骨盆，阴茎背神经|阴茎背神经|骨盆神经|الجهاز العصبي الطرفي، الحوض، العصب الظهراني من القضيب|العصب الظهراني من القضيب|أعصاب الحوض|ПНС, Таз, Дорзальный Нерв Пениса|дорзальный нерв пениса|Тазовые Нервы|396|1090|04 - PERIPHERAL NERVOUS SYSTEM - 08.jpg|04 - Peripheral Nervous System
Peripheral Nervous System, Pelvis, Sacral Nerve 2|Sacral Nerve 2|Pelvic Nerves|SNP, Pelvis, Nervio Sacro 2|Nervio Sacro 2|Nervios Pélvicos|Pns, Bassin, Nerf Sacré 2|Nerf sacré 2|Nerfs Pelviens|Sistema Nervoso Periferico, Bacino, Nervo Sacrale 2|Nervo Sacrale 2|Nervi Pelvici|周围神经系统，骨盆，骶神经2|骶神经2|骨盆神经|الجهاز العصبي الطرفي، الحوض، العصب العجزي 2|العصب العجزي 2|أعصاب الحوض|ПНС, Таз, Крестцовый Нерв 2|крестцовый нерв 2|Тазовые Нервы|780|305|04 - PERIPHERAL NERVOUS SYSTEM - 09.jpg|04 - Peripheral Nervous System
Peripheral Nervous System, Pelvis, Sacral Nerve 3|Sacral Nerve 3|Pelvic Nerves|SNP, Pelvis, Nervio Sacro 3|Nervio Sacro 3|Nervios Pélvicos|Pns, Bassin, Nerf Sacré 3|Nerf sacré 3|Nerfs Pelviens|Sistema Nervoso Periferico, Bacino, Nervo Sacrale 3|Nervo Sacrale 3|Nervi Pelvici|周围神经系统，骨盆，骶神经3|骶神经3|骨盆神经|الجهاز العصبي الطرفي، الحوض، العصب العجزي 3|العصب العجزي 3|أعصاب الحوض|ПНС, Таз, Крестцовый Нерв 3|крестцовый нерв 3|Тазовые Нервы|902|395|04 - PERIPHERAL NERVOUS SYSTEM - 09.jpg|04 - Peripheral Nervous System
Peripheral Nervous System, Pelvis, Sacral Nerve 4|Sacral Nerve 4|Pelvic Nerves|SNP, Pelvis, Nervio Sacro 4|Nervio Sacro 4|Nervios Pélvicos|Pns, Bassin, Nerf Sacré 4|Nerf sacré 4|Nerfs Pelviens|Sistema Nervoso Periferico, Bacino, Nervo Sacrale 4|Nervo Sacrale 4|Nervi Pelvici|周围神经系统，骨盆，骶神经4|骶神经4|骨盆神经|الجهاز العصبي الطرفي، الحوض، العصب العجزية 4|العصب العجزية 4|أعصاب الحوض|ПНС, Таз, Крестцовый Нерв 4|крестцовый нерв 4|Тазовые Нервы|986|495|04 - PERIPHERAL NERVOUS SYSTEM - 09.jpg|04 - Peripheral Nervous System
Peripheral Nervous System, Pelvis, Pudendal Nerve|Pudendal Nerve|Pelvic Nerves|SNP, Pelvis, Nervio Pudendo|Nervio Pudendal|Nervios Pélvicos|Pns, Bassin, Nerf Pudendal|Nerf pudendal|Nerfs Pelviens|Sistema Nervoso Periferico, Bacino, Nervo Pudendo|Nervo Pudendo|Nervi Pelvici|周围神经系统，骨盆，阴部神经|阴部神经|骨盆神经|الجهاز العصبي الطرفي، الحوض، العصب الفرجي|العصب الفرجي|أعصاب الحوض|ПНС, Таз, Срамной Нерв|срамной нерв|Тазовые Нервы|830|819|04 - PERIPHERAL NERVOUS SYSTEM - 09.jpg|04 - Peripheral Nervous System
Peripheral Nervous System, Pelvis, Perineal Nerve|Perineal Nerve|Pelvic Nerves|SNP, Pelvis, Nervio Perineal|Nervio Perineal|Nervios Pélvicos|Pns, Bassin, Nerf Périnéal|Nerf périnéal|Nerfs Pelviens|Sistema Nervoso Periferico, Bacino, Nervo Perineale|Nervo Perineale|Nervi Pelvici|周围神经系统，骨盆，会阴神经|会阴神经|骨盆神经|الجهاز العصبي الطرفي، الحوض، العصب العجاني|العصب العجاني|أعصاب الحوض|ПНС, Таз, Промежностный Нерв|Промежностный нерв|Тазовые Нервы|586|1047|04 - PERIPHERAL NERVOUS SYSTEM - 09.jpg|04 - Peripheral Nervous System
Peripheral Nervous System, Pelvis, Dorsal Nerve of Clitoris|Dorsal Nerve of Clitoris|Pelvic Nerves|SNP, Pelvis, Nervio Dorsal del Clítoris|Nervio Dorsal del Clítoris|Nervios Pélvicos|Pns, Bassin, Nerf Dorsal Du Clitoris|Nerf dorsal du clitoris|Nerfs Pelviens|Sistema Nervoso Periferico, Bacino, Nervo Dorsale Del Clitoride|Nervo Dorsale Del Clitoride|Nervi Pelvici|周围神经系统，骨盆，阴蒂背神经|阴蒂背神经|骨盆神经|الجهاز العصبي الطرفي، الحوض، العصب الظهراني للبظر|العصب الظهراني للبظر|أعصاب الحوض|ПНС, Таз, Дорсальный Нерв Клитора|дорсальный нерв клитора|Тазовые Нервы|382|961|04 - PERIPHERAL NERVOUS SYSTEM - 09.jpg|04 - Peripheral Nervous System
Peripheral Nervous System, Leg, Femoral Cutaneus Nerve, Lateral|Lateral Femoral Cutaneus Nerve|Leg Nerves|SNP, Pierna, Nervio Cutáneo Femoral Lateral|Nervio Cutáneo Femoral Lateral|Nervios de la Pierna|Pns, Jambe, Nerf Cutaneus Fémoral, Latéral|Nerf cutané fémoral latéral|Nerfs de Jambe|Sistema Nervoso Periferico, Gamba, Nervo Cutaneo Femorale, Laterale|Nervo Femorale Cutaneo Laterale |Nervi delle Gambe|周围神经系统，腿，股外侧皮神经|股外侧皮神经|腿神经|الجهاز العصبي الطرفي، الساق، الفخذ العقدي قصب العصب، الجانبي|الفخذ العقدي قصب العصب، الجانبي|أعصاب الساق|ПНС, Нога, Бедренный кожный Нерв, Боковой|Боковой бедренный кожный нерв|Ножные Нервы|485|821|04 - PERIPHERAL NERVOUS SYSTEM - 10.jpg|04 - Peripheral Nervous System
Peripheral Nervous System, Leg, Lumboinguinal Nerve|Lumboinguinal Nerve|Leg Nerves|SNP, Pierna, Nervio Lumboinguinal|Nervio Lumboinguinal|Nervios de la Pierna|Pns, Jambe, Nerf Lumbo-Inguinal|Nerf lumbo-inguinal|Nerfs de Jambe|Sistema Nervoso Periferico, Gamba, Nervo Lombare|Nervo Lomboinguinale|Nervi delle Gambe|周围神经系统，腿，腰椎腹股沟神经|腰椎腹股沟神经|腿神经|الجهاز العصبي الطرفي، الساق، العَصَبُ القَطَنِيُّ الأُرْبِيّ|العَصَبُ القَطَنِيُّ الأُرْبِيّ|أعصاب الساق|ПНС, Нога, Пояснично-паховый Нерв|пояснично-паховый нерв|Ножные Нервы|682|521|04 - PERIPHERAL NERVOUS SYSTEM - 10.jpg|04 - Peripheral Nervous System
Peripheral Nervous System, Leg, Femoral Cutaneus Nerve, Anterior|Anterior Femoral Cutaneus Nerve|Leg Nerves|SNP, Pierna, Nervio Cutano Femoral, Anterior|Nervio Cutaneo Femoral Anterior|Nervios de la Pierna|Pns, Jambe, Nerf Cutaneus Fémoral, Antérieur|Nerf cutané antérieur fémoral|Nerfs de Jambe|Sistema Nervoso Periferico, Gamba, Nervo Cutaneo Femorale, Anteriore|Nervo Femorale Anteriore Cutaneo|Nervi delle Gambe|周围神经系统，腿，前股骨皮神经|前股骨皮神经|腿神经|الجهاز العصبي الطرفي، الساق، العصب الفخذي الجلدي، الأمامي|العصب الفخذي الجلدي، الأمامي|أعصاب الساق|ПНС, Нога, Бедренный кожный Нерв, Передний|Передний бедренный кожный нерв|Ножные Нервы|790|1181|04 - PERIPHERAL NERVOUS SYSTEM - 10.jpg|04 - Peripheral Nervous System
Peripheral Nervous System, Leg, Femoral Cutaneus Nerve, Posterior|Posterior Femoral Cutaneus Nerve|Leg Nerves|SNP, Pierna, Nervio Cutano Femoral, Posterior|Nervio Cutaneo Femoral Posterior|Nervios de la Pierna|Pns, Jambe, Fémur Cutaneus Nerve, Postérieur|Nerf cutaneus fémoral postérieur|Nerfs de Jambe|Sistema Nervoso Periferico, Gamba, Nervo Cutaneo Femorale, Posteriore|Nervo Cutaneo Femorale Posteriore|Nervi delle Gambe|周围神经系统，腿，后股骨皮神经|后股骨皮神经|腿神经|الجهاز العصبي الطرفي، الساق، العصب الفخذي الامامي، الخلفي|العصب الفخذي الامامي، الخلفي|أعصاب الساق|ПНС, Нога, Бедренный кожный Нерв, Задний|Задний бедренний кожный нерв|Ножные Нервы|1563|1289|04 - PERIPHERAL NERVOUS SYSTEM - 10.jpg|04 - Peripheral Nervous System
Peripheral Nervous System, Leg, Ilioinguinal|Ilioinguinal Nerve|Leg Nerves|SNP, Pierna, Ilioinguinal|Nervio Ilioinguinal|Nervios de la Pierna|Pns, Jambe, Ilio-Inguinal|Nerf ilio-inguinal|Nerfs de Jambe|Sistema Nervoso Periferico, Gamba, Ilioinguinale|Nervo Ilioinguinale|Nervi delle Gambe|周围神经系统，腿，髂腹股沟神经|髂腹股沟神经|腿神经|الجهاز العصبي الطرفي، الساق، حَرْقَفِيٌّ أُرْبِيّ|حَرْقَفِيٌّ أُرْبِيّ|أعصاب الساق|ПНС, Нога, подвздошно-паховый|подвздошно-паховый нерв|Ножные Нервы|814|611|04 - PERIPHERAL NERVOUS SYSTEM - 10.jpg|04 - Peripheral Nervous System
Peripheral Nervous System, Leg, Cluneal Nerve, Middle|Middle Cluneal Nerve|Leg Nerves|SNP, Pierna, Nervio Cluneal, Medio|Nervio Cluneal Medio|Nervios de la Pierna|Pns, Jambe, Nerf Clunéal, Milieu|Nerf clunéal moyen|Nerfs de Jambe|Sistema Nervoso Periferico, Gamba, Nervo Cluneale, Centro|Nervo Cluneale Centrale|Nervi delle Gambe|周围神经系统，腿，内侧臀部神经|内侧臀部神经|腿神经|الجهاز العصبي الطرفي، الساق، العصب الألوي، الأوسط|العصب الألوي، الأوسط|أعصاب الساق|ПНС, Нога, Клиновидный нерв, Средний|Средний клиновидный нерв|Ножные Нервы|1389|527|04 - PERIPHERAL NERVOUS SYSTEM - 10.jpg|04 - Peripheral Nervous System
Peripheral Nervous System, Leg, Cluneal Nerve, Superior|Superior Cluneal Nerve|Leg Nerves|SNP, Pierna, Nervio Cluneal, Superior|Nervio Cluneal Superior|Nervios de la Pierna|Pns, Jambe, Nerf Clunéal, Supérieur|Nerf clunéal supérieur|Nerfs de Jambe|Sistema Nervoso Periferico, Gamba, Nervo Cluneale, Superiore|Nervo Cluneale Superiore|Nervi delle Gambe|周围神经系统，腿，上臀部神经|上臀部神经|腿神经|الجهاز العصبي الطرفي، الساق، العصب الألوي، العلوي|العصب الألوي، العلوي|أعصاب الساق|ПНС, Нога, Клиновидный нерв, Верхний|верхний клиновидный нерв|Ножные Нервы|1617|515|04 - PERIPHERAL NERVOUS SYSTEM - 10.jpg|04 - Peripheral Nervous System
Peripheral Nervous System, Leg, Iliohypogastric Nerve|Iliohypogastric Nerve|Leg Nerves|SNP, Pierna, Nervio Iliohipogástrico|Nervio Iliohipogástrico|Nervios de la Pierna|Pns, Jambe, Nerf Ilio-Hypogastrique|Nerf ilio-hypogastrique|Nerfs de Jambe|Sistema Nervoso Periferico, Gamba, Nervo ileoipogastrico|Nervo Ileoipogastrico|Nervi delle Gambe|周围神经系统，腿，髂腹下神经|髂腹下神经|腿神经|الجهاز العصبي الطرفي، الساق،العَصَبُ الحَرْقَفِيُّ الخَثَلِيّ|العَصَبُ الحَرْقَفِيُّ الخَثَلِيّ|أعصاب الساق|ПНС, Нога, Подвздошно-гипогастральный Нерв|подвздошно-гипогастральный нерв|Ножные Нервы|1736|455|04 - PERIPHERAL NERVOUS SYSTEM - 10.jpg|04 - Peripheral Nervous System
Peripheral Nervous System, Leg, Fibular Nerve, Common|Common Fibular Nerve|Leg Nerves|SNP, Pierna, Nervio Fibular, Común|Nervio Fibular Común|Nervios de la Pierna|Pns, Jambe, Nerf Fibulaire, Commun|Nerf fibulaire commun|Nerfs de Jambe|Sistema Nervoso Periferico, Gamba, Nervo peroneo comune|Nervo Peroneo Comune|Nervi delle Gambe|周围神经系统，腿，总腓骨神经|总腓骨神经|腿神经|الجهاز العصبي الطرفي، الساق، العصب الشظوي، المشترك|العصب الشظوي، المشترك|أعصاب الساق|ПНС, Нога, Малоберцовый Нерв, Общий|Общий малоберцовый нерв|Ножные Нервы|563|2039|04 - PERIPHERAL NERVOUS SYSTEM - 10.jpg|04 - Peripheral Nervous System
Peripheral Nervous System, Leg, Saphenous Nerve|Saphenous Nerve|Leg Nerves|SNP, Pierna, Nervio Safeno|Nervio Safeno|Nervios de la Pierna|Pns, Jambe, Nerf Saphène|Nerf saphène|Nerfs de Jambe|Sistema Nervoso Periferico, Gamba, Nervo Safeno|Nervo Safeno|Nervi delle Gambe|周围神经系统，腿，隐神经|隐神经|腿神经|الجهاز العصبي الطرفي، الساق، العصب الصافن|العصب الصافن|أعصاب الساق|ПНС, Нога, Подкожный Нерв|Подкожный нерв|Ножные Нервы|826|2471|04 - PERIPHERAL NERVOUS SYSTEM - 10.jpg|04 - Peripheral Nervous System
Peripheral Nervous System, Leg, Fibular Nerve, Superior|Superior Fibular Nerve|Leg Nerves|SNP, Pierna, Nervio Fibular, Superior|Nervio Fibular Superior|Nervios de la Pierna|Pns, Jambe, Nerf Fibulaire, Supérieur|Nerf fibulaire supérieur|Nerfs de Jambe|Sistema Nervoso Periferico, Gamba, Nervo peroneo superiore|Nervo Peroneo Superiore|Nervi delle Gambe|周围神经系统，腿，上腓骨神经|上腓骨神经|腿神经|الجهاز العصبي الطرفي، الساق، العصب الشظوي، العلوي|العصب الشظوي، العلوي|أعصاب الساق|ПНС, Нога, Малоберцовый Нерв, Верхний|верхний малоберцовый нерв|Ножные Нервы|688|2507|04 - PERIPHERAL NERVOUS SYSTEM - 10.jpg|04 - Peripheral Nervous System
Peripheral Nervous System, Leg, Sural Nerve|Sural Nerve|Leg Nerves|SNP, Pierna, Nervio de Sural|Nervio Sural|Nervios de la Pierna|Pns, Jambe, Nerf Sural|Nerf sural|Nerfs de Jambe|Sistema Nervoso Periferico, Gamba, Nervo Surale|Nervo Surale|Nervi delle Gambe|周围神经系统，腿，腓肠神经|腓肠神经|腿神经|الجهاز العصبي الطرفي، الساق، العصب الربلي|العصب الربلي|أعصاب الساق|ПНС, Нога, Икроножный Нерв|икроножный нерв|Ножные Нервы|1545|2483|04 - PERIPHERAL NERVOUS SYSTEM - 10.jpg|04 - Peripheral Nervous System
